RETAILER_ID,DEVICE_TYPE
520206,app
109368,app
315402,pos
343056,app
509628,app
257304,pos
464334,pos
101562,pos
476718,app
26118,pos
327948,pos
321390,pos
333618,pos
389226,pos
184362,pos
175734,pos
73428,pos
376350,pos
62550,pos
537168,app
265788,pos
595086,app
246942,pos
257100,pos
13716,pos
583872,app
596508,app
397164,pos
386124,pos
37200,pos
509946,app
27942,pos
554484,app
313758,pos
126588,pos
573642,app
21318,pos
572460,app
151374,pos
12588,pos
462444,app
19446,pos
284946,pos
220374,app
207336,pos
123888,pos
92082,app
2706,pos
513462,app
305616,pos
87876,pos
201444,app
108132,pos
262662,app
307080,pos
18396,pos
150750,pos
298974,app
156606,pos
51162,pos
608718,app
332550,app
521898,app
208182,pos
26400,pos
426036,pos
12618,pos
9558,pos
249198,pos
215772,app
12786,app
474618,pos
451392,app
250584,app
74502,pos
13998,pos
499452,pos
364692,pos
89442,app
518856,app
596256,pos
255612,app
211002,pos
279342,pos
469794,pos
133854,pos
374832,pos
489528,pos
551070,app
524754,app
94830,app
59286,pos
159018,app
108060,app
239454,pos
609666,app
34500,pos
22920,pos
470328,app
272460,pos
512304,app
586920,app
266550,pos
330666,pos
499008,pos
484374,pos
154800,pos
333516,pos
591912,pos
7734,pos
24486,pos
595644,app
469392,pos
438366,pos
514404,app
10230,pos
565770,app
88428,pos
163296,pos
205326,pos
535032,pos
165108,pos
320310,pos
576222,app
530448,app
220794,pos
498774,app
202326,pos
359544,pos
251316,pos
249312,pos
372036,pos
10488,pos
464298,pos
98904,app
166626,pos
206556,pos
597444,pos
520554,app
413592,app
507576,app
372024,pos
161706,pos
196554,app
559176,app
570990,app
23298,app
16698,pos
293868,app
302748,pos
472032,pos
51330,pos
128082,pos
568458,app
15030,pos
500622,app
534468,app
392160,app
335940,pos
389172,pos
162204,app
364398,pos
478512,app
53460,pos
280302,pos
320262,pos
61284,pos
10572,pos
105114,app
622308,app
506538,app
22164,pos
274062,app
442920,pos
598698,app
276108,pos
527868,app
36714,app
484770,app
428424,pos
524994,app
93462,pos
276318,pos
98598,pos
253782,app
466794,pos
274668,pos
630006,pos
517440,app
636708,app
299754,pos
329394,pos
419502,pos
93534,pos
476928,app
490776,pos
96912,pos
55026,pos
503904,pos
45714,pos
268782,app
66036,pos
322800,app
59370,pos
388272,pos
431406,app
243414,app
526770,app
528186,app
361800,pos
545718,app
587328,app
274776,pos
482502,pos
339624,pos
347874,pos
486246,pos
336708,pos
59076,pos
103896,pos
36060,pos
165972,pos
517338,app
259044,pos
519246,app
48390,pos
445584,app
79050,pos
552810,app
164922,app
217092,app
505596,app
338772,pos
478446,app
359466,app
80940,pos
472572,app
618294,app
84204,pos
561228,app
307584,pos
6402,pos
515670,app
504936,app
20562,pos
220008,app
445104,app
518694,app
568968,app
298914,pos
488316,app
153972,app
271968,pos
80016,pos
165456,pos
115440,pos
503910,pos
569988,app
261870,pos
598590,app
510726,app
339456,pos
530058,app
21684,pos
335328,pos
239784,pos
214674,pos
114024,pos
37020,pos
494142,pos
522270,app
253686,pos
479478,app
524766,app
108486,pos
101088,pos
513258,app
241500,app
345024,pos
487416,pos
596766,app
44652,pos
558072,app
595968,app
331812,pos
470448,app
519744,app
342528,pos
164634,app
210468,pos
44034,app
396300,pos
89670,pos
46524,app
19260,app
50316,pos
66444,pos
294498,pos
77076,pos
580230,app
209742,pos
13506,app
443346,pos
374094,app
578394,app
515196,app
586944,app
585558,pos
96966,pos
326142,app
500220,app
118110,pos
443946,app
44532,pos
338376,pos
161004,app
359898,pos
528672,app
595854,pos
24966,pos
518130,app
602616,app
20058,pos
16212,pos
338142,app
544014,app
8388,pos
456684,pos
336306,app
16338,pos
514926,app
85572,app
270366,pos
225618,pos
151218,pos
541602,app
537600,app
90234,pos
24840,pos
394260,pos
528984,app
94776,pos
84732,pos
554310,app
524736,app
86148,pos
574644,app
176040,pos
80760,pos
582414,app
488958,pos
370932,pos
420378,app
550590,pos
595284,app
17424,pos
309978,pos
561852,app
558798,app
406518,app
548316,app
56202,pos
553008,app
91290,app
195414,app
158586,pos
339168,pos
270798,app
110448,app
511872,app
613902,app
583740,pos
191208,app
209934,pos
256794,app
552612,app
394860,pos
514374,app
234240,pos
511176,app
449592,app
523830,app
634020,pos
547518,app
541782,app
6570,app
468846,pos
583080,app
613176,app
582564,app
633006,pos
530928,app
623664,app
479664,app
34950,pos
557502,app
593070,pos
620208,app
505098,app
271212,pos
73908,pos
255732,app
581742,app
421632,app
48864,app
586656,app
586290,app
551226,app
87186,pos
336552,pos
540402,app
212466,pos
280566,pos
395424,app
336150,pos
12480,pos
285744,pos
41898,app
377904,pos
570078,app
518022,app
290112,app
561678,app
614172,app
269064,app
508122,pos
625368,app
512034,app
594012,app
544806,app
269226,app
101490,app
489606,pos
479196,app
110550,pos
586386,app
101766,pos
256584,pos
300198,app
546786,app
49362,pos
616494,app
242238,pos
510474,app
502176,pos
151074,app
589122,app
134724,pos
98988,app
550434,app
258828,pos
491406,pos
82476,app
306936,pos
22590,pos
505656,app
596928,app
635424,app
611082,app
522492,app
112146,pos
630426,app
543126,app
579744,app
118776,app
13428,app
511896,app
522924,app
526218,app
332976,pos
129504,app
180918,app
601602,pos
14034,app
506892,pos
520710,app
540828,app
8436,app
632184,app
526668,app
45006,pos
552048,app
9660,app
541998,app
285252,app
164988,pos
